id,source,target
0,Source: Project Gutenberg,Source: Project Gutenberg
1,Die Abenteuer Tom Sawyers,De Lotgevallen van Tom Sawyer
2,Mark Twain,Mark Twain
3,Erstes Kapitel.,HOOFDSTUK I.
4,",,Tom!""","""Tom!"""
5,Keine Antwort.,Geen antwoord.
6,",,Tom!""","""Tom!"""
7,Alles still.,Geen antwoord.
8,",,Soll mich doch wundern, wo der Bengel wieder steckt!","""Waar zou die drommelsche jongen toch zitten?"
9,"Tom!""","Hoor je me niet, Tom?"""
10,Die alte Dame schob ihre Brille hinunter und schaute darüber hinweg; dann schob sie sie auf die Stirn und schaute darunter weg.,"De oude dame, die deze woorden sprak, trok haar bril naar beneden om er overheen te kijken. Daarna duwde zij hem naar boven om er onderdoor te kijken."
11,"Selten oder nie schaute sie nach einem so kleinen Ding, wie ein Knabe ist, _durch_ die Gläser dieser ihrer Staatsbrille, die der Stolz ihres Herzens war und mehr stilvoll als brauchbar; sie würde durch ein paar Herdringe ebensoviel gesehen haben.","Zelden of nooit gebruikte zij hem om er _door_ te kijken, althans niet naar een zoo onbeduidend voorwerp als een kleine jongen. Immers haar bril was haar roem, de trots van haar hart, en zij had hem gekocht om ontzag in te boezemen,--niet om dienst te doen."
12,"Unruhig hielt sie einen Augenblick Umschau und sagte, nicht gerade erzürnt, aber doch immer laut genug, um im ganzen Zimmer gehört zu werden: ,,Ich werde strenges Gericht halten müssen, wenn ich dich erwische, ich werde --""","Een oogenblik zag zij onthutst in het rond en zeide, niet bepaald barsch, maar luid genoeg om door al de meubelen in de kamer gehoord te worden: ""Als ik je krijg, dan zal...."""
13,"Hier brach sie ab, denn sie hatte sich inzwischen niedergebeugt und stocherte mit dem Besen unter dem Bett herum, und dann mußte sie wieder Atem holen, um ihrem Ärger Ausdruck zu verleihen.","Meer kon zij niet uitbrengen, want al pratende had zij zich voorovergebukt om met een bezem onder het bed te voelen of zich daar ook iemand verscholen had; en zij hijgde naar adem, toen zij na lang duwen en stompen niets dan de kat te voorschijn haalde."
14,Sie hatte nichts als die Katze aufgestöbert.,"""Ik heb nooit van mijn leven zoo'n jongen gezien!"
15,",,So ein Junge ist mir noch gar nicht vorgekommen!""","Nu zullen wij eens buiten kijken."""
16,"Sie ging zur offenen Tür, blieb stehen und spähte zwischen den Weinranken und dem blühenden Unkraut, welche zusammen den ,,Garten"" ausmachten, hindurch.","Zij ging voor de open deur staan en keek den tuin rond, tusschen de tomato-boompjes en het doorn-appelkruid."
17,Kein Tom.,Geen Tom.
18,"So erhob sie denn ihre Stimme und rief in alle Ecken hinein: ,,Tom, Tom!""","Daarna gebruikte zij hare handen als spreektrompet en schreeuwde: ""Ben je daar, Tom!"""
19,"Hinter ihr wurde ein schwaches Geräusch hörbar und sie wandte sich noch eben rechtzeitig um, um einen kleinen Burschen zu erwischen und an der Flucht zu hindern. ,,Also, da steckst du?",Wacht! daar hoort ze plotseling een licht gedruisch achter zich en zij keert zich om juist bijtijds om een jongen bij de panden van zijn buisje te vatten en hem het ontkomen te beletten.
20,An die Speisekammer habe ich freilich nicht gedacht!,"""Wel, ik had er aan moeten denken dat je in de provisiekast zoudt zitten,"" zeide zij."
21,"Was hast du denn da wieder gemacht, he?""","""Wat heb je daar gedaan?"""
22,",,Nichts.""","""Niets, tante."""
23,",,Nichts!","""Niets?"
24,Schau deine Hände an und deinen Mund.,Kijk eens naar je handen en je mond!
25,"Was ist das?""","""Dat weet ik niet, tante."""
26,",,Bei Gott, ich weiß es nicht, Tante!""","""Nu, ik wel."
27,",,Aber _ich_ weiß es, 's ist Marmelade.",Er zit gelei aan.
28,"Wie oft habe ich dir gesagt, wenn du über die Marmelade gingest, würde ich dich bläuen.","Heb ik je niet honderdmaal gezegd, dat je voor de broek zoudt hebben, als je gelei snoepte."
29,"Gib mir den Stock her!""","Geef mij die roede eens aan."""
30,Der Stock zitterte in ihren Händen. Die Gefahr war dringend.,"De roede werd in de lucht gezwaaid en was op het punt on op den jongen neer te komen, toen hij uitriep:"
31,",,Holla, Tante, sieh dich mal schnell um!""","""Tante, kijk eens achter u!"""
32,"Die alte Dame fuhr herum und brachte ihre Röcke in Sicherheit, während der Bursche, den Augenblick wahrnehmend, auf den hohen Bretterzaun kletterte und jenseits verschwand.","De oude dame draaide zich om en legde de roede neer om een partij hemden te redden, die zij op de haag te drogen had gehangen en die, door haar ijver om parate executie te houden, op den grond waren gevallen. De jongen maakte van de gelegenheid gebruik om over de schutting te klauteren en was in een ommezien verdwenen."
33,"Tante Polly stand sprachlos, dann begann sie gutmütig zu lächeln.",Tante stond hem een oogenblik beteuterd na te kijken en barstte toen in lachen uit.
34,",,Der Kuckuck hole den Jungen! Werde ich denn das niemals lernen?","""Die duivelsche jongen!"
35,"Hat er mir denn nicht schon Streiche genug gespielt, daß ich immer wieder auf den Leim krieche?","Zal ik dan nooit wijzer worden Het spreekwoord heeft gelijk: 'Hoe ouder, hoe gekker.'"
36,"Aber alte Torheit ist die größte Torheit, und ein alter Hund lernt keine neuen Kunststücke mehr.",Een ouden hond kan men geen nieuwe kunsten leeren.
37,"Aber, du lieber Gott, er macht jeden Tag neue, und wie kann jemand bei ihm wissen, was kommt!",Elken dag verzint de jongen iets anders; maar wie kan dat allemaal vooruit weten? 't Is alsof hij voelt hoe lang hij mij plagen kan vóórdat ik kwaad word.
38,"Es scheint, er weiß ganz genau, wie lange er mich quälen kann, bis ich dahinter komme, und ist gar zu gerissen, wenn es gilt, etwas ausfindig zu machen, um mich für einen Augenblick zu verblüffen oder mich wider Willen lachen zu machen, es ist immer dieselbe Geschichte, und ich bringe es nicht fertig, ihn zu prügeln.","En als ik dan eindelijk boos ben, brengt hij mij een oogenblik van het onderwerp af of laat mij lachen, en voorbij is het; hij glijdt mij onder de vingers weg, voordat ik hem kan straffen."
39,"Ich tue meine Pflicht nicht an dem Knaben, wie ich sollte, Gott weiß es. ,Spare die Rute, und du verdirbst dein Kind', heißt es.","Ik doe mijn plicht niet aan dien jongen, zoo waar als ik leef."
40,"Ich begehe vielleicht unrecht und kann es vor mir und ihm nicht verantworten, fürcht' ich.","Staat er niet geschreven: 'Die de roede spaart, bederft het kind.'"
41,Er steckt voller Narrenspossen und allerhand Unsinn -- aber einerlei!,Ik vergroot ons beider zonde en lijden.
42,"Er ist meiner toten Schwester Kind, ein armes Kind, und ich habe nicht das Herz, ihn irgendwie am Gängelband zu führen.","Hij is gansch en al bedorven. Maar, helaas het arme schaap is het eigen kind van mijne zuster zaliger ik kan het niet over mij verkrijgen hem te slaan."
43,"Wenn ich ihn sich selbst überlasse, drückt mich mein Gewissen, und so oft ich ihn schlagen muß, möchte mit das alte Herz brechen.","Ieder keer, dat ik hem niet straf, klaagt mijn geweten mij aan en ieder keer dat ik hem slaag geef, breekt mij het hart."
44,"Nun, mag's drum sein, der weibgeborene Mensch bleibt halt sein ganzes Leben durch in Zweifel und Irrtum, wie die heilige Schrift sagt, und ich denke, es ist so.",Wat zal er van hem worden?
45,"Er wird wieder den ganzen Abend Blindekuh spielen, und ich sollte ihn von Rechts wegen, um ihn zu strafen, morgen arbeiten lassen.",Zoo zal hij voor galg en rad opgroeien?
46,"Es ist wohl hart für ihn, am Samstag stillzusitzen, wenn alle anderen Knaben Feiertag haben, aber er haßt Arbeit mehr als irgend sonst was, und ich will meine Pflicht an ihm tun, oder ich würde das Kind zu Grunde richten.""","Hij zal van middag zeker weer gaan strijken en dan zal ik, om te straffen, hem morgen moeten laten werken. 't Is vreeselijk hard om hem op Zaterdag aan den arbeid te zetten, als andere jongens vacantie hebben maar ik moet ten minste mijn plicht doen, of ik zal het kind nog tot bederf worden."""
47,Tom spielte Blindekuh und fühlte sich sehr wohl dabei.,Tom bleef uit school en had een prettigen middag.
