id,source,target
6546,"– Beim heiligen Patrick, Edward, Sie haben Recht«, sagte der Major und brach in helles Lachen aus.","""Bij St Patrick! Edward! gij slaat den spijker op den kop!"" zeide de majoor, die het uitschaterde van lagchen."
12772,»Was sollen wir aber ohne Boot thun? fragte er John.,"""Maar hoe zullen wij het zonder sloep redden?"" vroeg hij aan John."
9508,"Nach dieser Aufzählung der Merkwürdigkeiten Australiens dachte sicher Niemand mehr daran, ihn noch weiter zu fragen.","Na die opnoeming van de merkwaardigheden van Australië, dacht men er niet aan om nog meer te vragen."
10555,"– Reden Sie, Ayrton.","""En die is, Ayrton?"""
12512,Dort waren ihnen besonders der Mangel an Luft und die Stöße des Schiffes lästig.,Daar hadden zij veel hinder van het gebrek aan lucht en het stampen van het vaartuig.
10926,"Als dieser Feind abgethan war, konnte sich Robert, ohne Schaden genommen zu haben, erheben.",Zijn kop werd afgehouwen en Robert stond ongedeerd op.
2815,Fürchtet Euch nicht.,"Wees niet bang.--Gij waart....?"""
7615,Was wollte der Geograph sagen?,Wat wilde de aardrijkskundige zeggen?
1066,Sie rannte hinaus auf den Spielplatz.,"Toen gilde zij: ""Tom!"
12520,Von allen Passagieren des Macquarie war Lord Glenarvan am meisten zu beklagen.,Van al de passagiers der _Macquarie_ was lord Glenarvan het meest te beklagen.
6432,"Die Hitze dieses Tages war wirklich ganz übermäßig, und zum Unglück bot die Ebene nirgends irgend welchen Schutz.","Het stond dus te vreezen, dat het dien dag smoorheet zijn zou, en ongelukkig leverde de vlakte geen beschutting op."
13288,– Aber hat die Unterwerfung des Waikato-Districtes diesen blutigen Krieg beendet? frug John Mangles.,"""En heeft de onderwerping van het district Waikato een eind gemaakt aan dien bloedigen oorlog?"" vroeg John Mangles."
4050,"Schau her, Huck. 's ist die verborgenste Höhle in diesem gesegneten Lande.","""Hier is het, Huck; het is het aardigste holletje uit de gansche streek."
8517,"Bei diesen verschiedenen Aufenthalten suchten seine Begleiter und er vielmehr festzustellen, wo Kapitän Grant nicht wäre, als wo er wäre.","Op die aanlegplaatsen zochten Glenarvan en zijn reisgenooten, waar kapitein Grant niet was, niet waar hij wel was."
12188,"Die Sträflinge hatten Australien zwar mit Hilfe eines neuen Verbrechens verlassen, indeß, sie hatten es doch verlassen.","De roovers hadden Australië verlaten, wel na het begaan van een nieuwe misdaad, maar toch zij waren weg."
