id,translation
0,"{'de': 'Source: Project Gutenberg', 'nl': 'Source: Project Gutenberg'}"
1,"{'de': 'Die Abenteuer Tom Sawyers', 'nl': 'De Lotgevallen van Tom Sawyer'}"
2,"{'de': 'Mark Twain', 'nl': 'Mark Twain'}"
3,"{'de': 'Erstes Kapitel.', 'nl': 'HOOFDSTUK I.'}"
4,"{'de': ',,Tom!""', 'nl': '""Tom!""'}"
5,"{'de': 'Keine Antwort.', 'nl': 'Geen antwoord.'}"
6,"{'de': ',,Tom!""', 'nl': '""Tom!""'}"
7,"{'de': 'Alles still.', 'nl': 'Geen antwoord.'}"
8,"{'de': ',,Soll mich doch wundern, wo der Bengel wieder steckt!', 'nl': '""Waar zou die drommelsche jongen toch zitten?'}"
9,"{'de': 'Tom!""', 'nl': 'Hoor je me niet, Tom?""'}"
10,"{'de': 'Die alte Dame schob ihre Brille hinunter und schaute darüber hinweg; dann schob sie sie auf die Stirn und schaute darunter weg.', 'nl': 'De oude dame, die deze woorden sprak, trok haar bril naar beneden om er overheen te kijken. Daarna duwde zij hem naar boven om er onderdoor te kijken.'}"
11,"{'de': 'Selten oder nie schaute sie nach einem so kleinen Ding, wie ein Knabe ist, _durch_ die Gläser dieser ihrer Staatsbrille, die der Stolz ihres Herzens war und mehr stilvoll als brauchbar; sie würde durch ein paar Herdringe ebensoviel gesehen haben.', 'nl': 'Zelden of nooit gebruikte zij hem om er _door_ te kijken, althans niet naar een zoo onbeduidend voorwerp als een kleine jongen. Immers haar bril was haar roem, de trots van haar hart, en zij had hem gekocht om ontzag in te boezemen,--niet om dienst te doen.'}"
12,"{'de': 'Unruhig hielt sie einen Augenblick Umschau und sagte, nicht gerade erzürnt, aber doch immer laut genug, um im ganzen Zimmer gehört zu werden: ,,Ich werde strenges Gericht halten müssen, wenn ich dich erwische, ich werde --""', 'nl': 'Een oogenblik zag zij onthutst in het rond en zeide, niet bepaald barsch, maar luid genoeg om door al de meubelen in de kamer gehoord te worden: ""Als ik je krijg, dan zal....""'}"
13,"{'de': 'Hier brach sie ab, denn sie hatte sich inzwischen niedergebeugt und stocherte mit dem Besen unter dem Bett herum, und dann mußte sie wieder Atem holen, um ihrem Ärger Ausdruck zu verleihen.', 'nl': 'Meer kon zij niet uitbrengen, want al pratende had zij zich voorovergebukt om met een bezem onder het bed te voelen of zich daar ook iemand verscholen had; en zij hijgde naar adem, toen zij na lang duwen en stompen niets dan de kat te voorschijn haalde.'}"
14,"{'de': 'Sie hatte nichts als die Katze aufgestöbert.', 'nl': '""Ik heb nooit van mijn leven zoo\'n jongen gezien!'}"
15,"{'de': ',,So ein Junge ist mir noch gar nicht vorgekommen!""', 'nl': 'Nu zullen wij eens buiten kijken.""'}"
16,"{'de': 'Sie ging zur offenen Tür, blieb stehen und spähte zwischen den Weinranken und dem blühenden Unkraut, welche zusammen den ,,Garten"" ausmachten, hindurch.', 'nl': 'Zij ging voor de open deur staan en keek den tuin rond, tusschen de tomato-boompjes en het doorn-appelkruid.'}"
17,"{'de': 'Kein Tom.', 'nl': 'Geen Tom.'}"
18,"{'de': 'So erhob sie denn ihre Stimme und rief in alle Ecken hinein: ,,Tom, Tom!""', 'nl': 'Daarna gebruikte zij hare handen als spreektrompet en schreeuwde: ""Ben je daar, Tom!""'}"
19,"{'de': 'Hinter ihr wurde ein schwaches Geräusch hörbar und sie wandte sich noch eben rechtzeitig um, um einen kleinen Burschen zu erwischen und an der Flucht zu hindern. ,,Also, da steckst du?', 'nl': 'Wacht! daar hoort ze plotseling een licht gedruisch achter zich en zij keert zich om juist bijtijds om een jongen bij de panden van zijn buisje te vatten en hem het ontkomen te beletten.'}"
20,"{'de': 'An die Speisekammer habe ich freilich nicht gedacht!', 'nl': '""Wel, ik had er aan moeten denken dat je in de provisiekast zoudt zitten,"" zeide zij.'}"
21,"{'de': 'Was hast du denn da wieder gemacht, he?""', 'nl': '""Wat heb je daar gedaan?""'}"
22,"{'de': ',,Nichts.""', 'nl': '""Niets, tante.""'}"
23,"{'de': ',,Nichts!', 'nl': '""Niets?'}"
24,"{'de': 'Schau deine Hände an und deinen Mund.', 'nl': 'Kijk eens naar je handen en je mond!'}"
25,"{'de': 'Was ist das?""', 'nl': '""Dat weet ik niet, tante.""'}"
26,"{'de': ',,Bei Gott, ich weiß es nicht, Tante!""', 'nl': '""Nu, ik wel.'}"
27,"{'de': "",,Aber _ich_ weiß es, 's ist Marmelade."", 'nl': 'Er zit gelei aan.'}"
28,"{'de': 'Wie oft habe ich dir gesagt, wenn du über die Marmelade gingest, würde ich dich bläuen.', 'nl': 'Heb ik je niet honderdmaal gezegd, dat je voor de broek zoudt hebben, als je gelei snoepte.'}"
29,"{'de': 'Gib mir den Stock her!""', 'nl': 'Geef mij die roede eens aan.""'}"
30,"{'de': 'Der Stock zitterte in ihren Händen. Die Gefahr war dringend.', 'nl': 'De roede werd in de lucht gezwaaid en was op het punt on op den jongen neer te komen, toen hij uitriep:'}"
31,"{'de': ',,Holla, Tante, sieh dich mal schnell um!""', 'nl': '""Tante, kijk eens achter u!""'}"
32,"{'de': 'Die alte Dame fuhr herum und brachte ihre Röcke in Sicherheit, während der Bursche, den Augenblick wahrnehmend, auf den hohen Bretterzaun kletterte und jenseits verschwand.', 'nl': 'De oude dame draaide zich om en legde de roede neer om een partij hemden te redden, die zij op de haag te drogen had gehangen en die, door haar ijver om parate executie te houden, op den grond waren gevallen. De jongen maakte van de gelegenheid gebruik om over de schutting te klauteren en was in een ommezien verdwenen.'}"
33,"{'de': 'Tante Polly stand sprachlos, dann begann sie gutmütig zu lächeln.', 'nl': 'Tante stond hem een oogenblik beteuterd na te kijken en barstte toen in lachen uit.'}"
34,"{'de': ',,Der Kuckuck hole den Jungen! Werde ich denn das niemals lernen?', 'nl': '""Die duivelsche jongen!'}"
35,"{'de': 'Hat er mir denn nicht schon Streiche genug gespielt, daß ich immer wieder auf den Leim krieche?', 'nl': ""Zal ik dan nooit wijzer worden Het spreekwoord heeft gelijk: 'Hoe ouder, hoe gekker.'""}"
36,"{'de': 'Aber alte Torheit ist die größte Torheit, und ein alter Hund lernt keine neuen Kunststücke mehr.', 'nl': 'Een ouden hond kan men geen nieuwe kunsten leeren.'}"
37,"{'de': 'Aber, du lieber Gott, er macht jeden Tag neue, und wie kann jemand bei ihm wissen, was kommt!', 'nl': ""Elken dag verzint de jongen iets anders; maar wie kan dat allemaal vooruit weten? 't Is alsof hij voelt hoe lang hij mij plagen kan vóórdat ik kwaad word.""}"
38,"{'de': 'Es scheint, er weiß ganz genau, wie lange er mich quälen kann, bis ich dahinter komme, und ist gar zu gerissen, wenn es gilt, etwas ausfindig zu machen, um mich für einen Augenblick zu verblüffen oder mich wider Willen lachen zu machen, es ist immer dieselbe Geschichte, und ich bringe es nicht fertig, ihn zu prügeln.', 'nl': 'En als ik dan eindelijk boos ben, brengt hij mij een oogenblik van het onderwerp af of laat mij lachen, en voorbij is het; hij glijdt mij onder de vingers weg, voordat ik hem kan straffen.'}"
39,"{'de': ""Ich tue meine Pflicht nicht an dem Knaben, wie ich sollte, Gott weiß es. ,Spare die Rute, und du verdirbst dein Kind', heißt es."", 'nl': 'Ik doe mijn plicht niet aan dien jongen, zoo waar als ik leef.'}"
