source,target,prediction,comet_score_system,comet_score_segment
"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","'Inmiddels hebben we muizen van 4 maanden oud die geen diabetes hebben, maar dat eerder wel hebben,' voegde hij er nog aan toe.","'We hebben nu 4 maanden oude muizen die niet-diabetisch zijn en vroeger diabetisch waren', voegde hij eraan toe.",0.8531999226085282,0.804577112197876
"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","Professor Ehud Ur in de geneeskunde aan Dalhousie University in Halifax, Nova Scotia, tevens voorzitter van de klinische en wetenschappelijke divisie van de Canadian Diabetes Association, herinnerde eraan dat ze nog maar net zijn begonnen met het onderzoek.","Dr. Ehud Ur, hoogleraar geneeskunde aan de Dalhousie Universiteit in Halifax, Nova Scotia en voorzitter van de klinische en wetenschappelijke divisie van de Canadese Diabetes Association waarschuwden dat het onderzoek nog in de begintijd is.",0.8531999226085282,0.8817334771156311
"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","Net als sommige andere deskundigen, is hij sceptisch over de vraag of zijn diabetes kan worden genezen, waarbij hij opmerkt dat deze bevindingen geen waarde hebben voor mensen die al type 1-diabetes hebben.","Net als een aantal andere experts is hij sceptisch over de vraag of diabetes kan worden genezen, en merkt op dat deze bevindingen niet relevant zijn voor mensen die al type 1 diabetes hebben.",0.8531999226085282,0.91644686460495
"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","Op maandag kondigde Sara Danius, de permanente secretaris van de nobelcommissie voor literatuur bij de Zweedse Academie, tijdens een radioprogramma op Sveriges Radio in Zweden aan dat de commissie Bob Dylan niet direct kon bereiken om hem te vertellen dat hij de Nobelprijs voor literatuur van 2016 had gewonnen en geen moeite meer zou doen om hem te bereiken.","Op maandag, heeft Sara Danius, permanent secretaresse van de Nobelcommissie voor de Literatuur van de Zweedse Akademie, publiekelijk aangekondigd tijdens een radioprogramma op Sveriges Radio in Zweden, dat de commissie, die Bob Dylan niet direct kon bereiken over het winnen van de 2016 Nobelprijs in de Literatuur, haar pogingen om hem te bereiken had opgegeven.",0.8531999226085282,0.8184710741043091
"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Danius verklaarde, 'We doen momenteel niks. Ik heb met zijn naaste medewerker gebeld en gemailed en vriendelijke antwoorden gekregen. Op dit moment is dat genoeg.'",Danius zei: 'Op dit moment doen we niets. Ik heb gebeld en e-mails gestuurd naar zijn naaste collaborateur en zeer vriendelijke antwoorden ontvangen. Voor nu is dat zeker genoeg.',0.8531999226085282,0.9157149195671082
"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","Eerder merkte Jamie Siminoff, de CEO van Ring, op dat het bedrijf is opgericht toen zijn deurbel van de winkel niet hoorbaar was in zijn garage.","Voorheen merkte Ring's CEO, Jamie Siminoff, op dat het bedrijf begon toen zijn deurbel niet hoorbaar was in zijn winkel in zijn garage.",0.8531999226085282,0.820262610912323
"He built a WiFi door bell, he said.",Hij zei dat hij daarop een wifi-deurbel maakte.,"Hij bouwde een WiFi deurbel, zei hij.",0.8531999226085282,0.8577595353126526
Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,"Siminoff zei dat de verkoop steeg nadat hij in 2013 in een aflevering van Shark Tank verscheen, waarbij het panel van het programma de start-up niet wilde financieren.",Siminoff zei dat de verkoop na zijn 2013 optreden in een Shark Tank episode waar de show panel weigerde financiering van de startup.,0.8531999226085282,0.6030394434928894
"In late 2017, Siminoff appeared on shopping television channel QVC.",Eind 2017 was Siminoff te zien op teleshoppingkanaal QVC.,Eind 2017 verscheen Siminoff op het winkelkanaal QVC.,0.8531999226085282,0.8017257452011108
"Ring also settled a lawsuit with competing security company, the ADT Corporation.",Ring trof ook een schikking in een rechtszaak met de ADT Corporation. Dat is een concurrerend beveiligingsbedrijf.,"Ring regelde ook een rechtszaak met een concurrerend beveiligingsbedrijf, de ADT Corporation.",0.8531999226085282,0.9128392338752747
